iter	Passed	Remaining
400	28409	42437
401	28465	42344
402	28539	42277
403	28615	42214
404	28697	42160
405	28767	42088
406	28825	41999
407	28890	41919
408	28948	41830
409	29003	41736
410	29073	41665
411	29136	41583
412	29195	41495
413	29253	41406
414	29310	41316
415	29367	41227
416	29431	41147
417	29491	41062
418	29557	40985
419	29632	40921
420	29684	40825
421	29746	40743
422	29811	40665
423	29864	40571
424	29924	40486
425	29974	40387
426	30037	40307
427	30114	40247
428	30173	40161
429	30234	40077
430	30288	39986
431	30341	39893
432	30400	39807
433	30450	39712
434	30513	39632
435	30580	39558
436	30659	39499
437	30731	39431
438	30815	39379
439	30906	39335
440	31046	39353
441	31148	39322
442	31221	39256
443	31284	39176
444	31346	39095
445	31402	39006
446	31459	38919
447	31519	38836
448	31583	38758
449	31644	38676
450	31701	38590
451	31763	38509
452	31828	38433
453	31894	38358
454	31957	38278
455	32003	38179
456	32076	38112
457	32145	38041
458	32231	37990
459	32313	37932
460	32403	37886
461	32484	37828
462	32587	37796
463	32683	37755
464	32758	37689
465	32839	37631
466	32912	37564
467	32994	37506
468	33122	37500
469	33248	37492
470	33373	37483
471	33486	37459
472	33570	37403
473	33654	37346
474	33726	37276
475	33795	37203
476	33865	37131
477	33951	37076
478	34076	37064
479	34188	37038
480	34294	37003
481	34366	36933
482	34430	36853
483	34499	36780
484	34579	36718
485	34654	36651
486	34717	36570
487	34789	36500
488	34870	36439
489	34960	36387
490	35032	36317
491	35124	36266
492	35203	36202
493	35291	36148
494	35363	36077
495	35434	36006
496	35504	35932
497	35583	35869
498	35637	35780
499	35700	35700
500	35753	35610
501	35803	35518
502	35868	35441
503	35918	35348
504	35976	35263
505	36056	35201
506	36123	35125
507	36178	35039
508	36235	34953
509	36289	34866
510	36348	34783
511	36423	34715
512	36472	34624
513	36530	34540
514	36608	34475
515	36673	34399
516	36747	34330
517	36808	34250
518	36865	34166
519	36929	34089
520	36998	34016
521	37063	33939
522	37120	33855
523	37183	33777
524	37236	33690
525	37288	33602
526	37343	33517
527	37395	33429
528	37465	33358
529	37555	33303
530	37637	33243
531	37703	33168
532	37769	33092
533	37821	33005
534	37877	32921
535	37932	32837
536	37990	32755
537	38072	32694
538	38147	32626
539	38211	32550
540	38270	32469
541	38336	32395
542	38393	32313
543	38448	32229
544	38507	32148
545	38571	32072
546	38643	32002
547	38698	31919
548	38758	31839
549	38830	31770
550	38907	31705
551	38977	31634
552	39041	31558
553	39104	31481
554	39184	31417
555	39239	31334
556	39293	31251
557	39358	31176
558	39427	31104
559	39490	31028
560	39576	30969
561	39649	30901
562	39709	30822
563	39799	30767
564	39897	30717
565	39980	30656
566	40082	30609
567	40175	30555
568	40253	30490
569	40327	30422
570	40469	30405
571	40685	30443
572	40818	30417
573	40922	30371
574	40990	30296
575	41071	30233
576	41133	30155
577	41193	30075
578	41259	30000
579	41321	29922
580	41384	29844
581	41440	29762
582	41507	29689
583	41571	29612
584	41631	29533
585	41684	29449
586	41743	29369
587	41804	29291
588	41863	29212
589	41921	29132
590	41977	29050
591	42062	28988
592	42140	28922
593	42213	28853
594	42302	28794
595	42378	28726
596	42438	28647
597	42494	28566
598	42564	28494
599	42629	28419
600	42685	28338
601	42741	28257
602	42796	28176
603	42857	28098
604	42922	28023
605	42985	27947
606	43059	27878
607	43120	27801
608	43170	27716
609	43229	27638
610	43294	27564
611	43357	27487
612	43410	27405
613	43471	27328
614	43542	27258
615	43609	27184
616	43681	27114
617	43741	27037
618	43804	26962
619	43860	26882
620	43925	26807
621	43980	26728
622	44054	26659
623	44115	26582
624	44176	26505
625	44245	26433
626	44349	26383
627	44437	26322
628	44531	26265
629	44599	26193
630	44656	26114
631	44710	26034
632	44768	25955
633	44827	25878
634	44882	25798
635	44942	25721
636	45007	25647
637	45077	25576
638	45129	25495
639	45189	25419
640	45242	25338
641	45300	25261
642	45362	25185
643	45421	25109
644	45480	25031
645	45547	24959
646	45608	24883
647	45664	24805
648	45711	24722
649	45768	24644
650	45826	24567
651	45877	24486
652	45935	24410
653	46001	24337
654	46076	24269
655	46135	24192
656	46198	24118
657	46252	24039
658	46305	23960
659	46363	23884
660	46422	23808
661	46493	23738
662	46578	23675
663	46659	23610
664	46723	23537
665	46780	23460
666	46851	23390
667	46915	23317
668	46994	23251
669	47067	23182
670	47133	23109
671	47198	23037
672	47251	22958
673	47313	22884
674	47374	22809
675	47432	22733
676	47496	22660
677	47571	22592
678	47627	22515
679	47685	22440
680	47740	22362
681	47803	22289
682	47855	22211
683	47916	22136
684	47967	22058
685	48043	21990
686	48101	21915
687	48158	21839
688	48214	21762
689	48286	21694
690	48342	21617
691	48395	21540
692	48448	21462
693	48523	21394
694	48583	21320
695	48643	21246
696	48703	21172
697	48780	21105
698	48860	21039
699	48932	20971
700	48992	20897
701	49061	20826
702	49112	20749
703	49174	20675
704	49228	20599
705	49289	20525
706	49350	20452
707	49410	20378
708	49473	20305
709	49548	20238
710	49602	20162
711	49734	20117
712	49788	20041
713	49842	19964
714	49898	19889
715	49948	19811
716	50021	19743
717	50083	19670
718	50151	19600
719	50205	19524
720	50262	19449
721	50317	19374
722	50375	19300
723	50439	19228
724	50506	19157
725	50568	19085
726	50625	19010
727	50683	18936
728	50741	18862
729	50794	18787
730	50852	18713
731	50905	18637
732	50974	18567
733	51072	18508
734	51144	18439
735	51213	18370
736	51275	18297
737	51329	18222
738	51387	18149
739	51437	18072
